director,genre,metascore,runtime,strarring,summary,title,url,userscore,year
,,,,"<a href=""/person/adele-haenel"">Adele Haenel</a>,<a href=""/person/armande-boulanger"">Armande Boulanger</a>,<a href=""/person/cecile-morel"">Cécile Morel</a>,<a href=""/person/christel-baras"">Christel Baras</a>,<a href=""/person/clement-bouyssou"">Clément Bouyssou</a>,<a href=""/person/guy-delamarche"">Guy Delamarche</a>,<a href=""/person/lusna-bajrami"">Luàna Bajrami</a>,<a href=""/person/michcle-clement"">Michèle Clément</a>,<a href=""/person/noemie-merlant"">Noémie Merlant</a>,<a href=""/person/valeria-golino"">Valeria Golino</a>","<div class=""summary_deck details_section"">
                                <span class=""label"">Summary:</span>
                                <span>
                                    <span>France, 1770. Marianne, a painter, is commissioned to do the wedding portrait of Héloïse, a young woman who has just left the convent. Héloïse is a reluctant bride to be, and Marianne must paint her without her knowing. She observes her by day, to paint her secretly.</span>
                                </span>
                            </div>",<h1>Portrait of a Lady on Fire</h1>,,,"<span class=""release_year lighter"">2019</span>"
,,,,"<a href=""/person/andy-devine"">Andy Devine</a>,<a href=""/person/edmond-obrien"">Edmond O'Brien</a>,<a href=""/person/james-stewart"">James Stewart</a>,<a href=""/person/jeanette-nolan"">Jeanette Nolan</a>,<a href=""/person/john-carradine"">John Carradine</a>,<a href=""/person/john-qualen"">John Qualen</a>,<a href=""/person/john-wayne"">John Wayne</a>,<a href=""/person/ken-murray"">Ken Murray</a>,<a href=""/person/lee-marvin"">Lee Marvin</a>,<a href=""/person/vera-miles"">Vera Miles</a>","<div class=""summary_deck details_section"">
                                <span class=""label"">Summary:</span>
                                <span>
                                    <span>A senator, who became famous for killing a notorious outlaw, returns for the funeral of an old friend and tells the truth about his deed.</span>
                                </span>
                            </div>",<h1>The Man Who Shot Liberty Valance</h1>,,,"<span class=""release_year lighter"">1962</span>"
,,,,"<a href=""/person/ben-burtt"">Ben Burtt</a>,<a href=""/person/elissa-knight"">Elissa Knight</a>,<a href=""/person/jeff-garlin"">Jeff Garlin</a>","<div class=""summary_deck details_section"">
                                <span class=""label"">Summary:</span>
                                <span>
                                    <span>After hundreds of lonely years of doing what he was built for, Wall-E discovers a new purpose in life when he meets a sleek search robot named EVE. [Walt Disney Pictures]</span>
                                </span>
                            </div>",<h1>WALL-E</h1>,,,"<span class=""release_year lighter"">2008</span>"
,,,,"<a href=""/person/leila-hatami"">Leila Hatami</a>,<a href=""/person/peyman-moaadi"">Peyman Moaadi</a>,<a href=""/person/sareh-bayat"">Sareh Bayat</a>","<div class=""summary_deck details_section"">
                                <span class=""label"">Summary:</span>
                                <span>
                                    <span class=""inline_expand_collapse inline_collapsed"" id=""summary_blurb_539656""><span class=""blurb blurb_collapsed"">Set in contemporary Iran, A Separation is a compelling drama about the dissolution of a marriage. Simin wants to leave Iran with her husband Nader and daughter Termeh. Simin sues for divorce when Nader refuses to leave behind his Alzheimer-suffering father. Her request having failed, Simin returns to her parents' home, but Termeh decides to</span><span class=""blurb blurb_expanded"">Set in contemporary Iran, A Separation is a compelling drama about the dissolution of a marriage. Simin wants to leave Iran with her husband Nader and daughter Termeh. Simin sues for divorce when Nader refuses to leave behind his Alzheimer-suffering father. Her request having failed, Simin returns to her parents' home, but Termeh decides to stay with Nader. When Nader hires a young woman to assist with his father in his wife's absence, he hopes that his life will return to a normal state. However, when he discovers that the new maid has been lying to him, he realizes that there is more on the line than just his marriage. [Sony Pictures Classic]<br><br></span><span class=""blurb_etc"">…</span> <a rel=""nofollow"" class=""toggle_expand_collapse toggle_expand"" href=""#expand"">Expand</a></span>
                                </span>
                            </div>",<h1>A Separation</h1>,,,"<span class=""release_year lighter"">2011</span>"
,,,,"<a href=""/person/aneurin-barnard"">Aneurin Barnard</a>,<a href=""/person/barry-keoghan"">Barry Keoghan</a>,<a href=""/person/damien-bonnard"">Damien Bonnard</a>,<a href=""/person/fionn-whitehead"">Fionn Whitehead</a>,<a href=""/person/harry-styles"">Harry Styles</a>,<a href=""/person/jack-lowden"">Jack Lowden</a>,<a href=""/person/james-bloor"">James Bloor</a>,<a href=""/person/lee-armstrong"">Lee Armstrong</a>,<a href=""/person/mark-rylance"">Mark Rylance</a>,<a href=""/person/tom-glynn-carney"">Tom Glynn-Carney</a>,<a href=""/person/tom-hardy"">Tom Hardy</a>","<div class=""summary_deck details_section"">
                                <span class=""label"">Summary:</span>
                                <span>
                                    <span>Dunkirk opens as hundreds of thousands of British and Allied troops are surrounded by enemy forces. Trapped on the beach with their backs to the sea they face an impossible situation as the enemy closes in. [Warner Bros.]</span>
                                </span>
                            </div>",<h1>Dunkirk</h1>,,,"<span class=""release_year lighter"">2017</span>"
,,,,"<a href=""/person/charley-grapewin"">Charley Grapewin</a>,<a href=""/person/dorris-bowdon"">Dorris Bowdon</a>,<a href=""/person/eddie-quillan"">Eddie Quillan</a>,<a href=""/person/henry-fonda"">Henry Fonda</a>,<a href=""/person/jane-darwell"">Jane Darwell</a>,<a href=""/person/john-carradine"">John Carradine</a>,<a href=""/person/john-qualen"">John Qualen</a>,<a href=""/person/oz-whitehead"">O.Z. Whitehead</a>,<a href=""/person/russell-simpson"">Russell Simpson</a>,<a href=""/person/zeffie-tilbury"">Zeffie Tilbury</a>","<div class=""summary_deck details_section"">
                                <span class=""label"">Summary:</span>
                                <span>
                                    <span>A poor Midwest family is forced off their land. They travel to California, suffering the misfortunes of the homeless in the Great Depression.</span>
                                </span>
                            </div>",<h1>The Grapes of Wrath</h1>,,,"<span class=""release_year lighter"">1940</span>"
,,,,"<a href=""/person/amy-robinson"">Amy Robinson</a>,<a href=""/person/cesare-danova"">Cesare Danova</a>,<a href=""/person/david-proval"">David Proval</a>,<a href=""/person/george-memmoli"">George Memmoli</a>,<a href=""/person/harvey-keitel"">Harvey Keitel</a>,<a href=""/person/jeannie-bell"">Jeannie Bell</a>,<a href=""/person/lenny-scaletta"">Lenny Scaletta</a>,<a href=""/person/richard-romanus"">Richard Romanus</a>,<a href=""/person/robert-de-niro"">Robert De Niro</a>,<a href=""/person/victor-argo"">Victor Argo</a>","<div class=""summary_deck details_section"">
                                <span class=""label"">Summary:</span>
                                <span>
                                    <span class=""inline_expand_collapse inline_collapsed"" id=""summary_blurb_548665""><span class=""blurb blurb_collapsed"">Charlie (Harvey Keitel) is working his way up the ranks of a local mob. Teresa (Amy Robinson) is the girlfriend his family deems unsuitable because of her epilepsy. Johnny Boy (Robert De Niro) is a small-time gambler in big-time debt to loan sharks. This is a story Martin Scorsese lived, a semi-biographical tale of the first-generation sons</span><span class=""blurb blurb_expanded"">Charlie (Harvey Keitel) is working his way up the ranks of a local mob. Teresa (Amy Robinson) is the girlfriend his family deems unsuitable because of her epilepsy. Johnny Boy (Robert De Niro) is a small-time gambler in big-time debt to loan sharks. This is a story Martin Scorsese lived, a semi-biographical tale of the first-generation sons and daughters of New York's Little Italy. [Warner Bros.]</span><span class=""blurb_etc"">…</span> <a rel=""nofollow"" class=""toggle_expand_collapse toggle_expand"" href=""#expand"">Expand</a></span>
                                </span>
                            </div>",<h1>Mean Streets</h1>,,,"<span class=""release_year lighter"">1973</span>"
,,,,"<a href=""/person/albert-brooks"">Albert Brooks</a>,<a href=""/person/cybill-shepherd"">Cybill Shepherd</a>,<a href=""/person/diahnne-abbott"">Diahnne Abbott</a>,<a href=""/person/frank-adu"">Frank Adu</a>,<a href=""/person/garth-avery"">Garth Avery</a>,<a href=""/person/gino-ardito"">Gino Ardito</a>,<a href=""/person/jodie-foster"">Jodie Foster</a>,<a href=""/person/peter-boyle"">Peter Boyle</a>,<a href=""/person/robert-de-niro"">Robert De Niro</a>,<a href=""/person/victor-argo"">Victor Argo</a>","<div class=""summary_deck details_section"">
                                <span class=""label"">Summary:</span>
                                <span>
                                    <span>Scorsese’s 1976 masterpiece is the all-too-real story of a psychotic New York cabby who is driven to violence in an attempt to rescue a teenage prostitute.  [Sony]<br></span>
                                </span>
                            </div>",<h1>Taxi Driver</h1>,,,"<span class=""release_year lighter"">1976</span>"
,,,,"<a href=""/person/barbara-baxley"">Barbara Baxley</a>,<a href=""/person/david-arkin"">David Arkin</a>,<a href=""/person/geraldine-chaplin"">Geraldine Chaplin</a>,<a href=""/person/karen-black"">Karen Black</a>,<a href=""/person/keith-carradine"">Keith Carradine</a>,<a href=""/person/ned-beatty"">Ned Beatty</a>,<a href=""/person/robert-doqui"">Robert DoQui</a>,<a href=""/person/ronee-blakley"">Ronee Blakley</a>,<a href=""/person/shelley-duvall"">Shelley Duvall</a>,<a href=""/person/timothy-brown"">Timothy Brown</a>","<div class=""summary_deck details_section"">
                                <span class=""label"">Summary:</span>
                                <span>
                                    <span>Over the course of a few hectic days, numerous interrelated people prepare for a political convention as secrets and lies are surfaced and revealed.</span>
                                </span>
                            </div>",<h1>Nashville</h1>,,,"<span class=""release_year lighter"">1975</span>"
,,,,"<a href=""/person/john-cassavetes"">John Cassavetes</a>,<a href=""/person/mia-farrow"">Mia Farrow</a>","<div class=""summary_deck details_section"">
                                <span class=""label"">Summary:</span>
                                <span>
                                    <span>A young couple move into an apartment, only to be surrounded by peculiar neighbors and occurrences. When the wife becomes mysteriously pregnant, paranoia over the safety of her unborn child begins to control her life.</span>
                                </span>
                            </div>",<h1>Rosemary's Baby</h1>,,,"<span class=""release_year lighter"">1968</span>"
,,,,"<a href=""/person/alexander-hamilton"">Alexander Hamilton</a>,<a href=""/person/aretha-franklin"">Aretha Franklin</a>,<a href=""/person/bernard-pretty-purdie"">Bernard Pretty Purdie</a>,<a href=""/person/bernard-purdie"">Bernard Purdie</a>,<a href=""/person/cl-franklin"">C.L. Franklin</a>,<a href=""/person/charlie-watts"">Charlie Watts</a>,<a href=""/person/chuck-rainey"">Chuck Rainey</a>,<a href=""/person/clara-ward"">Clara Ward</a>,<a href=""/person/mick-jagger"">Mick Jagger</a>,<a href=""/person/reverand-james-cleveland"">Reverand James Cleveland</a>,<a href=""/person/sydney-pollack"">Sydney Pollack</a>","<div class=""summary_deck details_section"">
                                <span class=""label"">Summary:</span>
                                <span>
                                    <span>A documentary presenting Aretha Franklin with choir at the New Bethel Baptist Church in Watts, Los Angeles in January 1972.</span>
                                </span>
                            </div>",<h1>Amazing Grace</h1>,,,"<span class=""release_year lighter"">2018</span>"
,,,,"<a href=""/person/ann-dere"">Ann Dere</a>,<a href=""/person/karl-malden"">Karl Malden</a>,<a href=""/person/kim-hunter"">Kim Hunter</a>,<a href=""/person/marlon-brando"">Marlon Brando</a>,<a href=""/person/nick-dennis"">Nick Dennis</a>,<a href=""/person/peg-hillias"">Peg Hillias</a>,<a href=""/person/richard-garrick"">Richard Garrick</a>,<a href=""/person/rudy-bond"">Rudy Bond</a>,<a href=""/person/vivien-leigh"">Vivien Leigh</a>,<a href=""/person/wright-king"">Wright King</a>","<div class=""summary_deck details_section"">
                                <span class=""label"">Summary:</span>
                                <span>
                                    <span>Disturbed Blanche DuBois (Vivien Leigh) moves in with her sister in New Orleans and is tormented by her brutish brother-in-law (Marlon Brando) while her reality crumbles around her.</span>
                                </span>
                            </div>",<h1>A Streetcar Named Desire</h1>,,,"<span class=""release_year lighter"">1951</span>"
,,,,"<a href=""/person/barton-maclane"">Barton MacLane</a>,<a href=""/person/elisha-cook-jr"">Elisha Cook Jr.</a>,<a href=""/person/gladys-george"">Gladys George</a>,<a href=""/person/humphrey-bogart"">Humphrey Bogart</a>,<a href=""/person/jerome-cowan"">Jerome Cowan</a>,<a href=""/person/lee-patrick"">Lee Patrick</a>,<a href=""/person/mary-astor"">Mary Astor</a>,<a href=""/person/peter-lorre"">Peter Lorre</a>,<a href=""/person/sydney-greenstreet"">Sydney Greenstreet</a>,<a href=""/person/ward-bond"">Ward Bond</a>","<div class=""summary_deck details_section"">
                                <span class=""label"">Summary:</span>
                                <span>
                                    <span>A private detective (Humphrey Bogart) takes on a case that involves him with three eccentric criminals, a gorgeous liar, and their quest for a priceless statuette.</span>
                                </span>
                            </div>",<h1>The Maltese Falcon</h1>,,,"<span class=""release_year lighter"">1941</span>"
,,,,"<a href=""/person/henry-fonda"">Henry Fonda</a>,<a href=""/person/lee-j-cobb"">Lee J. Cobb</a>","<div class=""summary_deck details_section"">
                                <span class=""label"">Summary:</span>
                                <span>
                                    <span class=""inline_expand_collapse inline_collapsed"" id=""summary_blurb_546622""><span class=""blurb blurb_collapsed"">12 Angry Men, by Sidney Lumet, is a behind-closed-doors look at the American legal system. This iconic adaptation of Reginald Rose’s teleplay stars Henry Fonda as the dissenting member on a jury of white men ready to pass judgment on a Puerto Rican teenager charged with murdering his father. The result is a saga of epic proportions that</span><span class=""blurb blurb_expanded"">12 Angry Men, by Sidney Lumet, is a behind-closed-doors look at the American legal system. This iconic adaptation of Reginald Rose’s teleplay stars Henry Fonda as the dissenting member on a jury of white men ready to pass judgment on a Puerto Rican teenager charged with murdering his father. The result is a saga of epic proportions that plays out over a tense afternoon in one sweltering room.</span><span class=""blurb_etc"">…</span> <a rel=""nofollow"" class=""toggle_expand_collapse toggle_expand"" href=""#expand"">Expand</a></span>
                                </span>
                            </div>",<h1>12 Angry Men</h1>,,,"<span class=""release_year lighter"">1957</span>"
,,,,"<a href=""/person/brad-garrett"">Brad Garrett</a>,<a href=""/person/lou-romano"">Lou Romano</a>,<a href=""/person/patton-oswalt"">Patton Oswalt</a>","<div class=""summary_deck details_section"">
                                <span class=""label"">Summary:</span>
                                <span>
                                    <span class=""inline_expand_collapse inline_collapsed"" id=""summary_blurb_500155""><span class=""blurb blurb_collapsed"">Despite his sensational sniffer and sophisticated palate, Remy's dreams of becoming a chef seem hopeless due to one small detail--he's a rat! Through a twist of fate, he ends up in the world-famous restaurant of his late hero, Auguste Gusteau. With a dash of culinary courage and the help of garbage boy Linguini, Remy whips up exquisite</span><span class=""blurb blurb_expanded"">Despite his sensational sniffer and sophisticated palate, Remy's dreams of becoming a chef seem hopeless due to one small detail--he's a rat! Through a twist of fate, he ends up in the world-famous restaurant of his late hero, Auguste Gusteau. With a dash of culinary courage and the help of garbage boy Linguini, Remy whips up exquisite meals that impress even the nasty chef Skinner and food critic Anton Ego. Together they conquer the kitchen and prove that big dreams can come true no matter how small you are. [Disney]</span><span class=""blurb_etc"">…</span> <a rel=""nofollow"" class=""toggle_expand_collapse toggle_expand"" href=""#expand"">Expand</a></span>
                                </span>
                            </div>",<h1>Ratatouille</h1>,,,"<span class=""release_year lighter"">2007</span>"
,,,,"<a href=""/person/casey-affleck"">Casey Affleck</a>,<a href=""/person/kyle-chandler"">Kyle Chandler</a>,<a href=""/person/lucas-hedges"">Lucas Hedges</a>,<a href=""/person/michelle-williams"">Michelle Williams</a>","<div class=""summary_deck details_section"">
                                <span class=""label"">Summary:</span>
                                <span>
                                    <span class=""inline_expand_collapse inline_collapsed"" id=""summary_blurb_544760""><span class=""blurb blurb_collapsed"">After the death of his older brother Joe (Kyle Chandler), Lee Chandler (Casey Affleck) is shocked to learn that Joe has made him sole guardian of his nephew Patrick (Lucas Hedges). Taking leave of his job, Lee reluctantly returns to Manchester-by-the-Sea to care for Patrick, a spirited 15-year-old, and is forced to deal with a past that</span><span class=""blurb blurb_expanded"">After the death of his older brother Joe (Kyle Chandler), Lee Chandler (Casey Affleck) is shocked to learn that Joe has made him sole guardian of his nephew Patrick (Lucas Hedges). Taking leave of his job, Lee reluctantly returns to Manchester-by-the-Sea to care for Patrick, a spirited 15-year-old, and is forced to deal with a past that separated him from his wife Randi (Michelle Williams) and the community where he was born and raised.   Bonded by the man who held their family together, Lee and Patrick struggle to adjust to a world without him.</span><span class=""blurb_etc"">…</span> <a rel=""nofollow"" class=""toggle_expand_collapse toggle_expand"" href=""#expand"">Expand</a></span>
                                </span>
                            </div>",<h1>Manchester by the Sea</h1>,,,"<span class=""release_year lighter"">2016</span>"
,,,,"<a href=""/person/akira-terao"">Akira Terao</a>,<a href=""/person/daisuke-ryu"">Daisuke Ryû</a>,<a href=""/person/jinpachi-nezu"">Jinpachi Nezu</a>,<a href=""/person/tatsuya-nakadai"">Tatsuya Nakadai</a>","<div class=""summary_deck details_section"">
                                <span class=""label"">Summary:</span>
                                <span>
                                    <span>An adaptation of William Shakespeare’s King Lear, Ran considers the disastrous consequences of Lord Hidetora Ichimonji’s (Tatsuya Nakadai) decision to split his kingdom among his three sons.</span>
                                </span>
                            </div>",<h1>Ran</h1>,,,"<span class=""release_year lighter"">1985</span>"
,,,,"<a href=""/person/bo-hopkins"">Bo Hopkins</a>,<a href=""/person/candy-clark"">Candy Clark</a>,<a href=""/person/charles-martin-smith"">Charles Martin Smith</a>,<a href=""/person/cindy-williams"">Cindy Williams</a>,<a href=""/person/mackenzie-phillips"">Mackenzie Phillips</a>,<a href=""/person/manuel-padilla-jr"">Manuel Padilla Jr.</a>,<a href=""/person/paul-le-mat"">Paul Le Mat</a>,<a href=""/person/richard-dreyfuss"">Richard Dreyfuss</a>,<a href=""/person/ron-howard"">Ron Howard</a>,<a href=""/person/wolfman-jack"">Wolfman Jack</a>","<div class=""summary_deck details_section"">
                                <span class=""label"">Summary:</span>
                                <span>
                                    <span>A couple of high school grads spend one final night cruising the strip with their buddies before they go off to college.</span>
                                </span>
                            </div>",<h1>American Graffiti</h1>,,,"<span class=""release_year lighter"">1973</span>"
,,,,"<a href=""/person/billy-bletcher"">Billy Bletcher</a>,<a href=""/person/cliff-edwards"">Cliff Edwards</a>,<a href=""/person/eddie-holden"">Eddie Holden</a>,<a href=""/person/edward-brophy"">Edward Brophy</a>,<a href=""/person/herman-bing"">Herman Bing</a>,<a href=""/person/james-baskett"">James Baskett</a>,<a href=""/person/jim-carmichael"">Jim Carmichael</a>,<a href=""/person/noreen-gammill"">Noreen Gammill</a>,<a href=""/person/sterling-holloway"">Sterling Holloway</a>,<a href=""/person/verna-felton"">Verna Felton</a>","<div class=""summary_deck details_section"">
                                <span class=""label"">Summary:</span>
                                <span>
                                    <span>This simple animated tale is set in a circus and spotlights a baby elephant, Dumbo, who is mocked and ridiculed because his ears are too big, only to be assisted by a mouse to achieve his full potential.</span>
                                </span>
                            </div>",<h1>Dumbo</h1>,,,"<span class=""release_year lighter"">1941</span>"
,,,,"<a href=""/person/anthony-perkins"">Anthony Perkins</a>,<a href=""/person/janet-leigh"">Janet Leigh</a>","<div class=""summary_deck details_section"">
                                <span class=""label"">Summary:</span>
                                <span>
                                    <span>A Phoenix secretary embezzles $40,000 from her employer's client, goes on the run, and checks into a remote motel run by a young man, Norman Bates (Anthony Perkins) under the domination of his mother.</span>
                                </span>
                            </div>",<h1>Psycho</h1>,,,"<span class=""release_year lighter"">1960</span>"
,,,,"<a href=""/person/andy-cortes"">Andy Cortés</a>,<a href=""/person/carlos-peralta"">Carlos Peralta</a>,<a href=""/person/daniela-demesa"">Daniela Demesa</a>,<a href=""/person/diego-cortina-autrey"">Diego Cortina Autrey</a>,<a href=""/person/fernando-grediaga"">Fernando Grediaga</a>,<a href=""/person/marco-graf"">Marco Graf</a>,<a href=""/person/marina-de-tavira"">Marina de Tavira</a>,<a href=""/person/nancy-garcia-garcia"">Nancy García García</a>,<a href=""/person/veronica-garcia"">Verónica García</a>,<a href=""/person/yalitza-aparicio"">Yalitza Aparicio</a>","<div class=""summary_deck details_section"">
                                <span class=""label"">Summary:</span>
                                <span>
                                    <span class=""inline_expand_collapse inline_collapsed"" id=""summary_blurb_547889""><span class=""blurb blurb_collapsed"">Roma follows Cleo (Yalitza Aparicio), a young domestic worker for a family in the middle-class neighborhood of Roma in Mexico City. Delivering an artful love letter to the women who raised him, Cuarón draws on his own childhood to create a vivid and emotional portrait of domestic strife and social hierarchy amidst political turmoil of the</span><span class=""blurb blurb_expanded"">Roma follows Cleo (Yalitza Aparicio), a young domestic worker for a family in the middle-class neighborhood of Roma in Mexico City. Delivering an artful love letter to the women who raised him, Cuarón draws on his own childhood to create a vivid and emotional portrait of domestic strife and social hierarchy amidst political turmoil of the 1970s. [Netflix]</span><span class=""blurb_etc"">…</span> <a rel=""nofollow"" class=""toggle_expand_collapse toggle_expand"" href=""#expand"">Expand</a></span>
                                </span>
                            </div>",<h1>Roma</h1>,,,"<span class=""release_year lighter"">2018</span>"
,,,,"<a href=""/person/anamaria-marinca"">Anamaria Marinca</a>,<a href=""/person/vlad-ivanov"">Vlad Ivanov</a>","<div class=""summary_deck details_section"">
                                <span class=""label"">Summary:</span>
                                <span>
                                    <span>During the final days of communism in Romania, two college roommates Otilia and Gabita are busy preparing for a night away. But rather than planning for a holiday, they are making arrangements for Gabita's illegal abortion and unwittingly, both find themselves burrowing deep down a rabbit hole of unexpected revelations. [IFC Films]</span>
                                </span>
                            </div>","<h1>4 Months, 3 Weeks and 2 Days</h1>",,,"<span class=""release_year lighter"">2008</span>"
,,,,"<a href=""/person/george-c-scott"">George C. Scott</a>,<a href=""/person/peter-sellers"">Peter Sellers</a>","<div class=""summary_deck details_section"">
                                <span class=""label"">Summary:</span>
                                <span>
                                    <span class=""inline_expand_collapse inline_collapsed"" id=""summary_blurb_522445""><span class=""blurb blurb_collapsed"">Through a series of military and political accidents, a psychotic general - U.S. Air Force Commander Jack D. Ripper (Hayden) - triggers an ingenious, irrevocable scheme to attack Russia's strategic targets with nuclear bombs. The U.S. President (Sellers) and Dr. Strangelove (Sellers), a wheelchair-bound nuclear scientist who has bizarre</span><span class=""blurb blurb_expanded"">Through a series of military and political accidents, a psychotic general - U.S. Air Force Commander Jack D. Ripper (Hayden) - triggers an ingenious, irrevocable scheme to attack Russia's strategic targets with nuclear bombs. The U.S. President (Sellers) and Dr. Strangelove (Sellers), a wheelchair-bound nuclear scientist who has bizarre ideas about man's future, work with the Soviet premier in a desperate effort to save the world.</span><span class=""blurb_etc"">…</span> <a rel=""nofollow"" class=""toggle_expand_collapse toggle_expand"" href=""#expand"">Expand</a></span>
                                </span>
                            </div>",<h1>Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb</h1>,,,"<span class=""release_year lighter"">1964</span>"
,,,,"<a href=""/person/billy-gray"">Billy Gray</a>,<a href=""/person/george-e-stone"">George E. Stone</a>,<a href=""/person/george-raft"">George Raft</a>,<a href=""/person/jack-lemmon"">Jack Lemmon</a>,<a href=""/person/joan-shawlee"">Joan Shawlee</a>,<a href=""/person/joe-e-brown"">Joe E. Brown</a>,<a href=""/person/marilyn-monroe"">Marilyn Monroe</a>,<a href=""/person/nehemiah-persoff"">Nehemiah Persoff</a>,<a href=""/person/pat-obrien"">Pat O'Brien</a>,<a href=""/person/tony-curtis"">Tony Curtis</a>","<div class=""summary_deck details_section"">
                                <span class=""label"">Summary:</span>
                                <span>
                                    <span>When two male musicians witness a mob hit, they flee the state in an all-female band disguised as women, but further complications set in.</span>
                                </span>
                            </div>",<h1>Some Like It Hot</h1>,,,"<span class=""release_year lighter"">1959</span>"
,,,,"<a href=""/person/vivien-leigh"">Vivien Leigh</a>","<div class=""summary_deck details_section"">
                                <span class=""label"">Summary:</span>
                                <span>
                                    <span>A Southern belle struggles with the devastation of the Civil War and Reconstruction. This classic won 8 Academy Awards, including Best Picture.</span>
                                </span>
                            </div>",<h1>Gone with the Wind</h1>,,,"<span class=""release_year lighter"">1940</span>"
,,,,"<a href=""/person/alida-valli"">Alida Valli</a>,<a href=""/person/bernard-lee"">Bernard Lee</a>,<a href=""/person/erich-ponto"">Erich Ponto</a>,<a href=""/person/ernst-deutsch"">Ernst Deutsch</a>,<a href=""/person/joseph-cotten"">Joseph Cotten</a>,<a href=""/person/orson-welles"">Orson Welles</a>,<a href=""/person/paul-horbiger"">Paul Hörbiger</a>,<a href=""/person/siegfried-breuer"">Siegfried Breuer</a>,<a href=""/person/trevor-howard"">Trevor Howard</a>,<a href=""/person/wilfrid-hyde-white"">Wilfrid Hyde-White</a>","<div class=""summary_deck details_section"">
                                <span class=""label"">Summary:</span>
                                <span>
                                    <span>Pulp novelist Holly Martins travels to shadowy, postwar Vienna, only to find himself investigating the mysterious death of an old friend, Harry Lime.</span>
                                </span>
                            </div>",<h1>The Third Man</h1>,,,"<span class=""release_year lighter"">1949</span>"
,,,,"<a href=""/person/anne-baxter"">Anne Baxter</a>,<a href=""/person/barbara-bates"">Barbara Bates</a>,<a href=""/person/bette-davis"">Bette Davis</a>,<a href=""/person/celeste-holm"">Celeste Holm</a>,<a href=""/person/gary-merrill"">Gary Merrill</a>,<a href=""/person/george-sanders"">George Sanders</a>,<a href=""/person/gregory-ratoff"">Gregory Ratoff</a>,<a href=""/person/hugh-marlowe"">Hugh Marlowe</a>,<a href=""/person/marilyn-monroe"">Marilyn Monroe</a>,<a href=""/person/thelma-ritter"">Thelma Ritter</a>","<div class=""summary_deck details_section"">
                                <span class=""label"">Summary:</span>
                                <span>
                                    <span>An ingenue insinuates herself into the company of an established but aging stage actress and her circle of theater friends.</span>
                                </span>
                            </div>",<h1>All About Eve</h1>,,,"<span class=""release_year lighter"">1950</span>"
,,,,"<a href=""/person/brenda-fricker"">Brenda Fricker</a>,<a href=""/person/daniel-day-lewis"">Daniel Day-Lewis</a>","<div class=""summary_deck details_section"">
                                <span class=""label"">Summary:</span>
                                <span>
                                    <span>True story of cerebral palsied Christy Brown, who overcame his illness and poverty to become an accomplished artist, poet and writer. </span>
                                </span>
                            </div>",<h1>My Left Foot</h1>,,,"<span class=""release_year lighter"">1990</span>"
,,,,"<a href=""/person/arthur-agee"">Arthur Agee</a>,<a href=""/person/william-gates"">William Gates</a>","<div class=""summary_deck details_section"">
                                <span class=""label"">Summary:</span>
                                <span>
                                    <span>Two inner-city Chicago boys with hopes of becoming professional basketball players struggle to become college players.</span>
                                </span>
                            </div>",<h1>Hoop Dreams</h1>,,,"<span class=""release_year lighter"">1994</span>"
,,,,"<a href=""/person/ariadna-gil"">Ariadna Gil</a>,<a href=""/person/ivana-baquero"">Ivana Baquero</a>,<a href=""/person/sergi-lopez"">Sergi López</a>","<div class=""summary_deck details_section"">
                                <span class=""label"">Summary:</span>
                                <span>
                                    <span class=""inline_expand_collapse inline_collapsed"" id=""summary_blurb_500064""><span class=""blurb blurb_collapsed"">Following a bloody civil war, young Ofelia enters a world of unimaginable cruelty when she moves in with her new stepfather, a tyrannical military officer. Armed with only her imagination, Ofelia discovers a mysterious labyrinth and meets a faun who sets her on a path to saving herself and her ailing mother. But soon, the lines between</span><span class=""blurb blurb_expanded"">Following a bloody civil war, young Ofelia enters a world of unimaginable cruelty when she moves in with her new stepfather, a tyrannical military officer. Armed with only her imagination, Ofelia discovers a mysterious labyrinth and meets a faun who sets her on a path to saving herself and her ailing mother. But soon, the lines between fantasy and reality begin to blur, and before Ofelia can turn back, she finds herself at the center of a ferocious battle between good and evil. [Warner Bros.]</span><span class=""blurb_etc"">…</span> <a rel=""nofollow"" class=""toggle_expand_collapse toggle_expand"" href=""#expand"">Expand</a></span>
                                </span>
                            </div>",<h1>Pan's Labyrinth</h1>,,,"<span class=""release_year lighter"">2006</span>"
